País,Norma,Artículo,Tipo penal,Categoría,Estado,Contexto típico de protesta,Legalidad,Claridad normativa,Lesividad,Mínima intervención penal,Idoneidad,Necesidad penal,Peso derechos indígenas,Peso interés estatal,Observación metodológica
Argentina,Código Penal,art. 226 CP,Rebelión / sublevación,Orden constitucional,Base tesis,"Protesta indígena, defensa territorial o conflicto político-institucional.",70,65,60,45,65,55,36,32,Requiere interpretación restrictiva si se invoca frente a protesta.
Argentina,Código Penal,art. 230 CP,Sedición,Orden público / institucional,Base tesis,Protesta indígena o conflicto institucional sin violencia grave acreditada.,60,55,50,35,55,45,40,24,Riesgo por amplitud si no existe alzamiento grave e idóneo.
Argentina,Código Penal,art. 213 CP,Apología,Expresión / discurso,Base tesis,"Discurso crítico, protesta indígena, expresión colectiva o defensa territorial.",40,35,40,25,40,30,48,16,Riesgo alto de afectación a libertad de expresión.
Argentina,Código Penal,art. 239 CP,Resistencia o desobediencia a la autoridad,Autoridad pública,Base tesis,"Resistencia comunitaria, protesta no violenta o conflicto de autoridad.",50,45,45,30,50,35,40,20,Riesgo por uso expansivo ante desobediencias simbólicas o colectivas.
Argentina,Código Penal,art. 194 CP,Obstrucción de vías o servicios,Circulación / servicios,Base tesis,Corte de ruta en contexto de protesta indígena.,55,50,50,40,55,40,40,24,Tipo central en criminalización de cortes de ruta.
Argentina,Código Penal,art. 210 CP,Asociación ilícita,Organización colectiva,Base tesis,"Organización comunitaria indígena, liderazgo social o acción colectiva territorial.",35,30,30,10,35,20,48,16,Riesgo alto si se asimila organización social a estructura criminal.
Argentina,Código Penal,art. 181 CP,Usurpación,Territorio / propiedad,Base tesis,"Recuperación territorial, defensa de territorio ancestral o conflicto de propiedad/posesión.",50,45,45,30,50,35,44,20,Riesgo elevado en conflictos de posesión o territorio ancestral.
Argentina,Código Penal,arts. 237–238 CP,Atentado contra la autoridad,Autoridad pública,Ampliado preliminar,"Protesta, resistencia frente a operativo policial o autoridad pública.",52,47,45,30,50,35,40,22,Exige violencia o intimidación concreta e individualizada.
Argentina,Código Penal,arts. 149 bis / 149 ter CP,Amenazas y coacciones,Libertad individual,Ampliado preliminar,Reclamos colectivos interpretados como presión ilegítima.,55,50,45,30,50,35,42,22,Riesgo por confundir presión política legítima con amenaza penal.
Argentina,Código Penal,arts. 183–184 CP,Daños y daños agravados,Propiedad / bienes,Ampliado preliminar,"Roturas, pintadas, daños menores o afectaciones materiales en protestas.",60,55,50,40,55,45,36,28,"Requiere daño probado, individualización y proporcionalidad."
Argentina,Código Penal,arts. 186–189 CP,"Incendio, explosión u otros estragos",Seguridad pública,Ampliado preliminar,"Uso de fuego, barricadas o hechos de riesgo en contexto de protesta.",65,60,65,55,70,60,32,42,Solo debería operar con peligro común grave y probado.
Argentina,Código Penal,art. 209 CP,Instigación a cometer delitos,Expresión / convocatoria,Ampliado preliminar,"Convocatorias públicas, discursos de dirigentes o llamados a movilización.",45,40,35,25,40,30,48,18,Alto riesgo si se sanciona discurso político sin nexo directo con delito concreto.
Argentina,Código Penal,art. 211 CP,Intimidación pública,Orden público / alarma pública,Ampliado preliminar,"Mensajes, comunicados o acciones de protesta interpretados como alarma pública.",42,38,35,25,40,30,48,18,Tipo riesgoso si se aplica a expresiones de protesta.
Argentina,Código Penal,art. 41 quinquies CP,Agravante de finalidad terrorista,Terrorismo / agravante,Ampliado preliminar,Calificación agravada de protestas como actos con finalidad terrorista.,30,25,25,10,30,20,55,15,Debe excluir reclamo legítimo sin violencia grave.
Argentina,Código Penal,arts. 89–92 CP,Lesiones,Integridad personal,Ampliado preliminar,Confrontaciones en protestas u operativos policiales.,70,65,65,55,70,60,30,45,Requiere prueba individualizada de autoría y nexo causal.
Argentina,Código Penal,art. 141 CP,Privación ilegítima de libertad,Libertad individual,Ampliado preliminar,"Retenciones temporales, bloqueos o conflictos con autoridades/empresas.",60,55,50,40,55,45,38,32,"Distinguir protesta, bloqueo y verdadera privación ilegítima."
Ecuador,COIP,art. 336 COIP,Rebelión,Orden constitucional,Base tesis,"Protesta indígena, defensa territorial o conflicto político-institucional.",70,65,55,45,60,50,40,28,Riesgo si se usa frente a protesta política sin alzamiento real.
Ecuador,COIP,Sedición militar / policial,Sedición militar / policial,Orden institucional militar/policial,Base tesis,Ámbito institucional calificado; no extensible por analogía a civiles.,75,70,75,70,78,65,24,48,Riesgo bajo si se mantiene en ámbito institucional específico.
Ecuador,COIP,art. 365 COIP,Apología,Expresión / discurso,Base tesis,"Discurso crítico, protesta indígena, expresión colectiva o defensa territorial.",40,35,40,25,40,30,48,16,Riesgo alto para libertad de expresión si se usa contra discurso de protesta.
Ecuador,COIP,arts. 283 y 282 COIP,Ataque o resistencia / incumplimiento de decisiones,Autoridad pública,Base tesis,"Resistencia comunitaria, protesta no violenta o conflicto de autoridad.",45,40,40,25,45,30,44,20,Riesgo frente a actos de resistencia civil o incumplimiento en protesta.
Ecuador,COIP,art. 346 COIP,Paralización de servicio público,Servicios públicos,Base tesis,"Protesta indígena, movilización social o conflicto socioambiental.",55,50,50,40,55,40,40,24,Tipo central para protestas que afectan servicios o movilidad.
Ecuador,COIP,art. 370 COIP,Asociación ilícita,Organización colectiva,Base tesis,"Organización comunitaria indígena, liderazgo social o acción colectiva territorial.",35,30,30,10,35,20,48,16,Riesgo alto si se asocia organización social con criminalidad.
Ecuador,COIP,art. 345 COIP,Sabotaje,Seguridad pública / economía,Base tesis,"Protesta socioambiental, defensa territorial o conflicto extractivo.",45,40,35,20,45,25,48,20,Tipo de alto riesgo en conflictos extractivos o territoriales.
Ecuador,COIP,art. 366 COIP,Terrorismo,Terrorismo / seguridad pública,Ampliado preliminar,Protesta social calificada como terror o amenaza grave a la población.,30,25,25,10,30,20,55,15,Riesgo muy alto si se aplica a protesta sin violencia grave y finalidad terrorista.
Ecuador,COIP,art. 367 COIP,Financiación del terrorismo,Terrorismo / financiación,Ampliado preliminar,"Apoyo económico, logístico o comunitario a movilizaciones calificado como financiamiento ilícito.",30,25,20,10,30,20,55,15,Riesgo extremo si confunde solidaridad comunitaria con financiamiento terrorista.
Ecuador,COIP,art. 369 COIP,Delincuencia organizada,Organización colectiva,Ampliado preliminar,Liderazgos comunitarios o grupos de protesta tratados como grupo estructurado delictivo.,35,30,25,10,35,20,55,16,Riesgo alto si se criminaliza organización social.
Ecuador,COIP,art. 363 COIP,Instigación,Expresión / convocatoria,Ampliado preliminar,"Convocatorias públicas, discursos o llamados a movilización.",45,40,35,25,40,30,48,18,Riesgo si se sanciona convocatoria política sin nexo directo con delito concreto.
Ecuador,COIP,art. 200 COIP,Usurpación,Territorio / propiedad,Ampliado preliminar,"Recuperación territorial, ocupación, posesión comunitaria o conflicto de tierra.",50,45,45,30,50,35,44,20,Riesgo en conflictos territoriales indígenas o socioambientales.
Ecuador,COIP,art. 204 COIP,Daño a bien ajeno,Propiedad / bienes,Ampliado preliminar,"Daños materiales, pintadas, afectación de bienes públicos o privados en protesta.",60,55,50,40,55,45,36,28,"Requiere daño concreto, autoría individual y proporcionalidad."
Ecuador,COIP,art. 154 COIP,Intimidación,Libertad individual,Ampliado preliminar,Mensajes o acciones colectivas interpretadas como amenaza.,55,50,45,30,50,35,42,22,Riesgo por equiparar presión social o política con intimidación penal.
Ecuador,COIP,arts. 152 y ss. COIP,Lesiones,Integridad personal,Ampliado preliminar,Confrontaciones en protestas u operativos de fuerza pública.,70,65,65,55,70,60,30,45,"Requiere prueba individualizada, nexo causal y proporcionalidad."
Ecuador,COIP,arts. 161–162 COIP,Secuestro / retención ilegal,Libertad individual,Ampliado preliminar,"Retenciones, bloqueos o conflictos comunitarios con autoridades o empresas.",60,55,50,40,55,45,38,32,"Diferenciar protesta, bloqueo y verdadera privación de libertad."
